cardFull;artist;scarcity;serial;priceETH;priceEUR;date
caballero-season-1-common;Caballero;Common;2120;0,012;13,483;29/09/2022 05:39:16
youv-dee-season-1-common;Youv Dee;Common;2086;0,005;5,979;29/09/2022 04:29:15
moji-x-sboy-season-1-common;Moji x Sboy;Common;2141;0,004;5,159;29/09/2022 03:22:18
jmks-season-1-common;JMK$;Common;2188;0,004;4,69;29/09/2022 03:22:17
le-reglement-season-1-common;Le Règlement;Common;2072;0,013;15,242;29/09/2022 01:19:19
lycos-season-1-common;Lycos;Common;2162;0,004;4,924;29/09/2022 00:14:18
moji-x-sboy-season-1-common;Moji x Sboy;Common;2106;0,004;4,69;28/09/2022 23:26:17
di-meh-season-1-common;Di-Meh;Common;2121;0,006;6,448;28/09/2022 22:35:16
caballero-season-1-common;Caballero;Common;2169;0,007;8,559;28/09/2022 21:22:19
rowjay-season-1-common;Rowjay;Common;2082;0,004;4,104;28/09/2022 19:12:19
livai-season-1-common;Livaï;Common;2104;0,004;4,69;28/09/2022 19:12:17
jwles-season-1-common;Jwles;Common;2086;0,004;4,315;28/09/2022 19:12:14
benjamin-epps-season-1-common;Benjamin Epps;Common;2096;0,004;4,69;28/09/2022 17:26:14
spider-zed-season-1-common;Spider Zed;Common;2118;0,003;3,517;28/09/2022 16:39:17
benjamin-epps-season-1-common;Benjamin Epps;Common;2121;0,004;4,69;28/09/2022 16:39:16
jwles-season-1-common;Jwles;Common;2086;0,003;3,517;28/09/2022 15:11:15
spider-zed-season-1-common;Spider Zed;Common;2082;0,004;4,104;28/09/2022 15:11:14
winnterzuko-season-1-common;Winnterzuko;Common;2095;0,012;13,6;28/09/2022 14:23:17
spider-zed-season-1-common;Spider Zed;Common;2072;0,006;7,035;28/09/2022 09:41:15
jeanjass-season-1-common;JeanJass;Common;2177;0,007;8,559;27/09/2022 23:45:18
skuna-season-1-common;Skuna;Common;2204;0,001;1,172;27/09/2022 21:39:15
zinee-season-1-common;Zinée;Common;2091;0,005;5,745;27/09/2022 21:34:20
jeanjass-season-1-common;JeanJass;Common;2249;0,01;11,724;27/09/2022 20:32:15
le-reglement-season-1-common;Le Règlement;Common;2111;0,014;16,414;27/09/2022 19:31:17
jmks-season-1-common;JMK$;Common;2118;0,003;3,517;27/09/2022 19:31:14
jeanjass-season-1-common;JeanJass;Common;2238;0,007;8,09;27/09/2022 18:37:20
winnterzuko-season-1-common;Winnterzuko;Common;2138;0,012;13,718;27/09/2022 17:47:25
di-meh-season-1-common;Di-Meh;Common;2167;0,005;5,862;27/09/2022 17:47:23
moji-x-sboy-season-1-common;Moji x Sboy;Common;2111;0,006;7,035;27/09/2022 17:47:21
jewel-usain-season-1-common;Jewel Usain;Common;2093;0,002;2,814;27/09/2022 17:47:15
so-la-lune-season-1-common;So La Lune;Common;2112;0,008;9,38;27/09/2022 17:04:20
jeanjass-season-1-common;JeanJass;Common;2246;0,01;11,138;27/09/2022 17:04:17
sheldon-season-1-common;Sheldon;Common;2106;0,004;4,69;27/09/2022 16:17:18
jeanjass-season-1-common;JeanJass;Common;2235;0,007;7,855;27/09/2022 16:17:17
jmks-season-1-common;JMK$;Common;2118;0,005;5,471;27/09/2022 15:30:14
lycos-season-1-common;Lycos;Common;2199;0,005;6,097;27/09/2022 14:14:17
jwles-season-1-common;Jwles;Common;2128;0,004;4,104;27/09/2022 14:14:15
jwles-season-1-common;Jwles;Common;2113;0,006;6,448;27/09/2022 10:50:16
jmks-season-1-common;JMK$;Common;2108;0,004;5,159;27/09/2022 10:50:16
lycos-season-1-common;Lycos;Common;2099;0,005;5,862;27/09/2022 09:41:16
jmks-season-1-common;JMK$;Common;2231;0,004;4,104;27/09/2022 02:45:17
jewel-usain-season-1-common;Jewel Usain;Common;2109;0,004;4,104;27/09/2022 02:45:17
youv-dee-season-1-common;Youv Dee;Common;2185;0,01;11,138;27/09/2022 01:25:25
slimka-season-1-common;Slimka;Common;2172;0,008;8,793;27/09/2022 01:25:24
youv-dee-season-1-common;Youv Dee;Common;2102;0,009;11,021;27/09/2022 01:25:23
flem-season-1-common;Flem;Common;2109;0,007;8,207;27/09/2022 01:25:16
jewel-usain-season-1-common;Jewel Usain;Common;2098;0,005;5,276;26/09/2022 23:52:16
jmks-season-1-common;JMK$;Common;2094;0,004;4,573;26/09/2022 23:52:15
di-meh-season-1-common;Di-Meh;Common;2113;0,007;7,621;26/09/2022 22:54:17
thahomey-season-1-common;thaHomey;Common;2101;0,004;4,69;26/09/2022 21:40:21
8ruki-season-1-common;8ruki;Common;2136;0,005;5,862;26/09/2022 21:30:19
jewel-usain-season-1-common;Jewel Usain;Common;2138;0,007;8,207;26/09/2022 20:47:20
lycos-season-1-common;Lycos;Common;2125;0,007;8,207;26/09/2022 20:47:17
8ruki-season-1-common;8ruki;Common;2098;0,006;7,035;26/09/2022 20:47:16
moji-x-sboy-season-1-common;Moji x Sboy;Common;2122;0,006;6,566;26/09/2022 20:47:15
winnterzuko-season-1-common;Winnterzuko;Common;2120;0,025;29,311;26/09/2022 20:47:14
le-reglement-season-1-common;Le Règlement;Common;2134;0,022;25,794;26/09/2022 20:04:19
moji-x-sboy-season-1-common;Moji x Sboy;Common;2075;0,005;5,862;26/09/2022 20:04:18
moji-x-sboy-season-1-common;Moji x Sboy;Common;2219;0,004;4,69;26/09/2022 20:04:17
jewel-usain-season-1-common;Jewel Usain;Common;2140;0,007;8,559;26/09/2022 20:04:16
spider-zed-season-1-common;Spider Zed;Common;2078;0,004;4,69;26/09/2022 17:05:13
livai-season-1-common;Livaï;Common;2102;0,005;5,862;26/09/2022 14:10:14
sheldon-season-1-common;Sheldon;Common;2121;0,008;9,38;26/09/2022 12:37:18
sheldon-season-1-common;Sheldon;Common;2101;0,003;2,931;26/09/2022 12:19:14
jewel-usain-season-1-common;Jewel Usain;Common;2190;0,004;4,69;26/09/2022 11:54:16
di-meh-season-1-common;Di-Meh;Common;2113;0,004;4,69;26/09/2022 11:54:15
caballero-season-1-common;Caballero;Common;2170;0,008;9,38;26/09/2022 11:04:14
flem-season-1-common;Flem;Common;2113;0,02;23,449;26/09/2022 09:32:16
rowjay-season-1-common;Rowjay;Common;2076;0,008;9,38;26/09/2022 01:19:18
di-meh-season-1-common;Di-Meh;Common;2075;0,007;8,207;26/09/2022 01:19:16
jewel-usain-season-1-common;Jewel Usain;Common;2170;0,008;9,38;25/09/2022 23:18:15
slimka-season-1-common;Slimka;Common;2069;0,004;4,69;25/09/2022 22:13:15
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;2075;0,002;2,345;22/09/2022 10:15:46
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;2075;0,002;2,345;22/09/2022 08:47:46
jeanjass-season-1-common;JeanJass;Common;2453;0,002;2,087;27/11/2022 20:02:13
moji-x-sboy-season-1-common;Moji x Sboy;Common;2305;0,002;2,345;27/11/2022 19:34:13
youv-dee-season-1-common;Youv Dee;Common;2404;0,002;1,993;27/11/2022 19:25:15
azur-season-1-common;Azur;Common;2438;0,002;1,759;27/11/2022 08:57:13
le-reglement-season-1-common;Le Règlement;Common;2251;0,004;4,221;27/11/2022 02:45:14
youv-dee-season-1-common;Youv Dee;Common;2448;0,002;2,556;26/11/2022 22:40:14
azur-season-1-common;Azur;Common;2374;0,002;2,087;26/11/2022 22:20:14
di-meh-season-1-common;Di-Meh;Common;2488;0,002;2,228;26/11/2022 20:04:15
jwles-season-1-common;Jwles;Common;2393;0,002;2,11;26/11/2022 12:12:39
so-la-lune-season-1-common;So La Lune;Common;2329;0,003;3,635;26/11/2022 10:47:13
mahdi-ba-season-1-common;Mahdi Ba;Common;2411;0,002;2,04;26/11/2022 10:22:22
spider-zed-season-1-common;Spider Zed;Common;2336;0,002;2,228;26/11/2022 10:09:16
slimka-season-1-common;Slimka;Common;2327;0,002;1,993;26/11/2022 09:49:13
caballero-season-1-common;Caballero;Common;2349;0,003;3,037;26/11/2022 06:42:15
rowjay-season-1-common;Rowjay;Common;2461;0,002;1,911;26/11/2022 06:38:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;2320;0,002;2,872;25/11/2022 18:35:21
benjamin-epps-season-1-common;Benjamin Epps;Common;2359;0,003;3,341;25/11/2022 13:20:13
8ruki-season-1-common;8ruki;Common;2304;0,003;3,048;25/11/2022 10:01:15
slimka-season-1-common;Slimka;Common;2403;0,003;3,283;25/11/2022 00:34:13
youv-dee-season-1-common;Youv Dee;Common;2446;0,004;4,221;25/11/2022 00:30:14
jewel-usain-season-1-common;Jewel Usain;Common;2306;0,002;2,697;25/11/2022 00:09:15
jmks-season-1-common;JMK$;Common;2450;0,002;2,72;24/11/2022 20:17:13
skuna-season-1-common;Skuna;Common;2271;0,002;2,697;24/11/2022 16:22:15
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;2416;0,005;5,862;24/11/2022 15:56:14
jeanjass-season-1-common;JeanJass;Common;2369;0,005;5,862;24/11/2022 13:42:14
sheldon-season-1-common;Sheldon;Common;2434;0,003;3,4;24/11/2022 02:02:14
8ruki-season-1-common;8ruki;Common;2441;0,003;3,166;24/11/2022 01:57:13
benjamin-epps-season-1-common;Benjamin Epps;Common;2269;0,003;3,517;24/11/2022 01:47:13
so-la-lune-season-1-common;So La Lune;Common;2330;0,005;5,276;23/11/2022 13:55:14
thahomey-season-1-common;thaHomey;Common;2402;0,003;2,931;22/11/2022 17:00:14
skuna-season-1-common;Skuna;Common;2447;0,002;2,345;22/11/2022 16:40:13
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;2335;0,005;5,768;22/11/2022 14:13:14
deen-burbigo-season-1-common;Deen Burbigo;Common;2476;0,006;7,035;22/11/2022 13:11:13
youv-dee-season-1-common;Youv Dee;Common;2429;0,004;4,924;22/11/2022 12:33:14
deen-burbigo-season-1-common;Deen Burbigo;Common;2462;0,006;7,269;22/11/2022 08:49:10
lycos-season-1-common;Lycos;Common;2386;0,003;3,048;21/11/2022 22:24:13
skuna-season-1-common;Skuna;Common;2421;0,002;2,345;21/11/2022 18:56:13
so-la-lune-season-1-common;So La Lune;Common;2389;0,005;5,51;21/11/2022 16:55:13
le-reglement-season-1-common;Le Règlement;Common;2258;0,005;5,862;21/11/2022 16:20:14
benjamin-epps-season-1-common;Benjamin Epps;Common;2426;0,003;3,517;21/11/2022 11:45:14
so-la-lune-season-1-common;So La Lune;Common;2464;0,004;5,159;21/11/2022 07:17:13
benjamin-epps-season-1-common;Benjamin Epps;Common;2447;0,003;3,517;20/11/2022 21:45:16
le-reglement-season-1-common;Le Règlement;Common;2467;0,005;5,862;20/11/2022 21:14:14
winnterzuko-season-1-common;Winnterzuko;Common;2269;0,005;5,628;20/11/2022 17:04:14
caballero-season-1-common;Caballero;Common;2272;0,006;6,448;20/11/2022 16:59:15
slimka-season-1-common;Slimka;Common;2302;0,003;3,166;20/11/2022 16:40:15
sheldon-season-1-common;Sheldon;Common;2446;0,003;3,986;19/11/2022 11:19:14
thahomey-season-1-common;thaHomey;Common;2293;0,002;2,79;19/11/2022 08:58:15
spider-zed-season-1-common;Spider Zed;Common;2414;0,002;2,852;19/11/2022 08:34:14
azur-season-1-common;Azur;Common;2496;0,002;2,579;19/11/2022 08:01:14
le-reglement-season-1-common;Le Règlement;Common;2325;0,005;5,745;18/11/2022 20:33:16
livai-season-1-common;Livaï;Common;2380;0,003;3,283;18/11/2022 13:57:20
thahomey-season-1-common;thaHomey;Common;2385;0,002;2,697;18/11/2022 08:38:14
so-la-lune-season-1-common;So La Lune;Common;2480;0,005;5,862;17/11/2022 23:18:15
youv-dee-season-1-common;Youv Dee;Common;2395;0,004;4,338;17/11/2022 23:15:13
thahomey-season-1-common;thaHomey;Common;2271;0,002;2,697;17/11/2022 23:09:15
youv-dee-season-1-common;Youv Dee;Common;2441;0,003;4,045;17/11/2022 15:56:14
thahomey-season-1-common;thaHomey;Common;2298;0,002;2,579;16/11/2022 23:52:14
youv-dee-season-1-common;Youv Dee;Common;2465;0,003;3,635;16/11/2022 12:28:11
azur-season-1-common;Azur;Common;2479;0,002;2,462;16/11/2022 09:41:14
jeanjass-season-1-common;JeanJass;Common;2370;0,004;4,625;16/11/2022 09:24:14
di-meh-season-1-common;Di-Meh;Common;2450;0,003;2,931;16/11/2022 08:02:15
youv-dee-season-1-common;Youv Dee;Common;2448;0,003;3,517;15/11/2022 22:56:13
zinee-season-1-common;Zinée;Common;2374;0,002;1,946;15/11/2022 21:25:13
livai-season-1-common;Livaï;Common;2433;0,003;3,142;15/11/2022 18:07:14
