cardFull;artist;scarcity;serial;priceETH;priceEUR;date
so-la-lune-season-1-platinium;So La Lune;Platinium;227;0,06;70,346;27/11/2022 20:23:13
kerchak-season-1-platinium;Kerchak;Platinium;60;0,059;69,174;27/11/2022 17:25:08
deen-burbigo-season-1-platinium;Deen Burbigo;Platinium;104;0,05;58,622;27/11/2022 17:01:13
bigflo-season-1-common;Bigflo;Common;19;0,029;34,001;27/11/2022 16:45:15
zinee-season-1-halloween;Zinée;Halloween;48;0,018;21,104;27/11/2022 16:45:13
winnterzuko-season-1-halloween;Winnterzuko;Halloween;195;0,003;3,517;27/11/2022 15:44:10
slimka-season-1-platinium;Slimka;Platinium;144;0,03;35,173;27/11/2022 15:18:13
benjamin-epps-season-1-common;Benjamin Epps;Common;158;0,007;8,207;27/11/2022 14:20:15
bigflo-season-1-common;Bigflo;Common;50;0,018;21,104;27/11/2022 13:26:13
winnterzuko-season-1-halloween;Winnterzuko;Halloween;206;0,003;3,517;27/11/2022 13:25:15
benjamin-epps-season-1-platinium;Benjamin Epps;Platinium;202;0,04;46,898;27/11/2022 12:12:14
azur-season-1-common;Azur;Common;169;0,006;6,53;27/11/2022 11:36:14
skuna-season-1-common;Skuna;Common;145;0,006;7,035;27/11/2022 11:21:16
so-la-lune-season-1-common;So La Lune;Common;138;0,006;7,504;27/11/2022 09:02:13
moji-x-sboy-season-1-common;Moji x Sboy;Common;29;0,015;17,587;27/11/2022 04:14:13
jmks-season-1-common;JMK$;Common;20;0,02;23,449;27/11/2022 04:04:13
thahomey-season-1-common;thaHomey;Common;71;0,016;18,759;27/11/2022 03:03:13
youv-dee-season-1-halloween;Youv Dee;Halloween;18;0,02;23,449;27/11/2022 02:30:14
caballero-season-1-halloween;Caballero;Halloween;86;0,015;17,587;27/11/2022 02:14:13
zinee-season-1-halloween;Zinée;Halloween;195;0,006;7,152;27/11/2022 01:58:13
deen-burbigo-season-1-common;Deen Burbigo;Common;235;0,012;14,398;27/11/2022 01:36:13
youv-dee-season-1-halloween;Youv Dee;Halloween;142;0,009;10,435;27/11/2022 01:26:13
kerchak-season-1-common;Kerchak;Common;104;0,013;15,124;27/11/2022 01:18:14
moji-x-sboy-season-1-platinium;Moji x Sboy;Platinium;196;0,05;58,622;26/11/2022 23:54:16
winnterzuko-season-1-halloween;Winnterzuko;Halloween;202;0,004;4,15;26/11/2022 23:02:15
kerchak-season-1-platinium;Kerchak;Platinium;138;0,061;71,636;26/11/2022 22:30:10
zinee-season-1-common;Zinée;Common;7;0,043;50,415;26/11/2022 22:17:14
bigflo-season-1-common;Bigflo;Common;239;0,004;4,69;26/11/2022 21:47:18
le-reglement-season-1-common;Le Règlement;Common;217;0,01;11,724;26/11/2022 21:26:14
youv-dee-season-1-common;Youv Dee;Common;196;0,006;6,554;26/11/2022 21:21:13
deen-burbigo-season-1-common;Deen Burbigo;Common;1;0,173;202,832;26/11/2022 21:05:22
caballero-season-1-halloween;Caballero;Halloween;201;0,008;9,38;26/11/2022 20:50:15
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;90;0,048;56,277;26/11/2022 20:24:22
benjamin-epps-season-1-common;Benjamin Epps;Common;187;0,006;7,035;26/11/2022 19:55:14
spider-zed-season-1-platinium;Spider Zed;Platinium;24;0,043;50,415;26/11/2022 19:46:13
jewel-usain-season-1-common;Jewel Usain;Common;129;0,006;7,035;26/11/2022 19:42:16
sheldon-season-1-common;Sheldon;Common;202;0,005;5,862;26/11/2022 18:58:13
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;184;0,006;7,035;26/11/2022 18:36:25
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;3;0,12;140,693;26/11/2022 17:13:14
di-meh-season-1-platinium;Di-Meh;Platinium;126;0,03;35,173;26/11/2022 17:00:14
skuna-season-1-platinium;Skuna;Platinium;147;0,03;35,173;26/11/2022 16:55:15
zinee-season-1-common;Zinée;Common;29;0,01;11,959;26/11/2022 16:04:14
zuukou-mayzie-season-1-platinium;Zuukou Mayzie;Platinium;122;0,045;52,76;26/11/2022 14:05:15
mahdi-ba-season-1-platinium;Mahdi Ba;Platinium;102;0,03;35,173;26/11/2022 13:50:18
kerchak-season-1-platinium;Kerchak;Platinium;104;0,05;58,622;26/11/2022 13:28:15
youv-dee-season-1-halloween;Youv Dee;Halloween;223;0,003;3,283;26/11/2022 13:23:17
bigflo-season-1-platinium;Bigflo;Platinium;23;0,07;82,071;26/11/2022 13:13:13
jwles-season-1-platinium;Jwles;Platinium;132;0,027;31,656;26/11/2022 12:12:41
bigflo-season-1-platinium;Bigflo;Platinium;45;0,077;89,809;26/11/2022 11:53:16
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;224;0,022;25,794;26/11/2022 11:25:16
le-reglement-season-1-halloween;Le Règlement;Halloween;171;0,009;10,552;26/11/2022 10:46:08
bigflo-season-1-common;Bigflo;Common;131;0,006;7,035;26/11/2022 09:43:19
bigflo-season-1-common;Bigflo;Common;3;0,035;41,035;26/11/2022 09:33:13
kerchak-season-1-common;Kerchak;Common;117;0,009;10,552;26/11/2022 07:58:13
flem-season-1-common;Flem;Common;206;0,006;7,035;26/11/2022 02:36:13
livai-season-1-common;Livaï;Common;107;0,006;7,386;26/11/2022 01:08:14
azur-season-1-platinium;Azur;Platinium;174;0,026;30,53;26/11/2022 00:13:14
8ruki-season-1-platinium;8ruki;Platinium;21;0,05;58,622;26/11/2022 00:09:13
deen-burbigo-season-1-platinium;Deen Burbigo;Platinium;104;0,057;66,36;26/11/2022 00:06:14
bigflo-season-1-common;Bigflo;Common;137;0,012;13,483;25/11/2022 21:44:14
zinee-season-1-platinium;Zinée;Platinium;30;0,08;93,795;25/11/2022 21:20:15
kerchak-season-1-platinium;Kerchak;Platinium;239;0,069;80,898;25/11/2022 21:11:29
mahdi-ba-season-1-common;Mahdi Ba;Common;179;0,005;5,276;25/11/2022 20:00:15
zuukou-mayzie-season-1-platinium;Zuukou Mayzie;Platinium;110;0,051;59,794;25/11/2022 18:55:19
deen-burbigo-season-1-platinium;Deen Burbigo;Platinium;238;0,05;58,622;25/11/2022 18:41:14
rowjay-season-1-common;Rowjay;Common;62;0,015;17,166;25/11/2022 16:17:15
jeanjass-season-1-common;JeanJass;Common;57;0,008;9,38;25/11/2022 16:11:13
jewel-usain-season-1-common;Jewel Usain;Common;36;0,009;10,552;25/11/2022 14:10:14
thahomey-season-1-common;thaHomey;Common;58;0,002;2,345;25/11/2022 13:44:14
azur-season-1-common;Azur;Common;76;0,002;2,345;25/11/2022 13:35:14
le-reglement-season-1-platinium;Le Règlement;Platinium;191;0,062;72,691;24/11/2022 22:59:13
rowjay-season-1-platinium;Rowjay;Platinium;13;0,064;75,036;24/11/2022 21:43:13
jeanjass-season-1-halloween;JeanJass;Halloween;198;0,01;11,724;24/11/2022 21:41:13
spider-zed-season-1-common;Spider Zed;Common;25;0,015;17,587;24/11/2022 21:23:13
sheldon-season-1-platinium;Sheldon;Platinium;190;0,035;40,684;24/11/2022 17:49:13
youv-dee-season-1-common;Youv Dee;Common;59;0,02;23,449;24/11/2022 15:23:13
jewel-usain-season-1-platinium;Jewel Usain;Platinium;12;0,06;70,346;24/11/2022 14:28:15
spider-zed-season-1-common;Spider Zed;Common;31;0,013;15,359;24/11/2022 13:42:13
kerchak-season-1-common;Kerchak;Common;207;0,013;15,124;24/11/2022 01:25:13
doums-season-1-common;Doums;Common;164;0,009;10,822;24/11/2022 01:16:13
winnterzuko-season-1-common;Winnterzuko;Common;4;0,071;83,243;24/11/2022 00:15:14
youv-dee-season-1-halloween;Youv Dee;Halloween;67;0,017;19,345;23/11/2022 19:13:13
caballero-season-1-halloween;Caballero;Halloween;43;0,015;17,587;23/11/2022 17:54:14
le-reglement-season-1-halloween;Le Règlement;Halloween;207;0,005;5,862;23/11/2022 17:04:13
youv-dee-season-1-halloween;Youv Dee;Halloween;178;0,003;3,506;23/11/2022 15:35:14
flem-season-1-common;Flem;Common;2;0,089;103,761;23/11/2022 11:51:14
lycos-season-1-platinium;Lycos;Platinium;78;0,041;48,07;22/11/2022 21:42:27
le-reglement-season-1-platinium;Le Règlement;Platinium;77;0,085;99,657;22/11/2022 21:38:13
kerchak-season-1-common;Kerchak;Common;166;0,013;15,242;22/11/2022 19:15:13
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;47;0,018;21,104;22/11/2022 18:02:14
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;19;0,055;64,484;22/11/2022 17:51:13
zinee-season-1-halloween;Zinée;Halloween;10;0,055;64,484;22/11/2022 16:39:13
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;50;0,029;34,001;22/11/2022 16:27:14
jeanjass-season-1-halloween;JeanJass;Halloween;5;0,06;70,346;22/11/2022 14:06:13
livai-season-1-platinium;Livaï;Platinium;244;0,03;35,173;22/11/2022 13:48:13
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;32;0,02;23,449;22/11/2022 13:01:14
lycos-season-1-common;Lycos;Common;76;0,012;14,069;22/11/2022 11:46:13
winnterzuko-season-1-platinium;Winnterzuko;Platinium;158;0,06;70,346;22/11/2022 11:31:13
mahdi-ba-season-1-common;Mahdi Ba;Common;146;0,007;8,207;22/11/2022 05:03:13
sheldon-season-1-common;Sheldon;Common;123;0,007;8,442;21/11/2022 23:57:14
jwles-season-1-common;Jwles;Common;101;0,005;6,097;21/11/2022 23:23:13
flem-season-1-common;Flem;Common;73;0,017;19,931;21/11/2022 22:27:13
jeanjass-season-1-halloween;JeanJass;Halloween;76;0,02;23,883;21/11/2022 22:20:13
skuna-season-1-common;Skuna;Common;90;0,005;5,745;21/11/2022 21:52:13
azur-season-1-common;Azur;Common;210;0,007;8,442;21/11/2022 20:50:13
winnterzuko-season-1-halloween;Winnterzuko;Halloween;96;0,022;25,794;21/11/2022 19:06:17
8ruki-season-1-platinium;8ruki;Platinium;15;0,042;48,774;21/11/2022 18:43:14
skuna-season-1-platinium;Skuna;Platinium;59;0,037;42,794;21/11/2022 15:56:14
doums-season-1-common;Doums;Common;65;0,023;26,45;21/11/2022 14:54:14
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;102;0,021;24,621;21/11/2022 12:14:13
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;3;0,06;70,346;21/11/2022 10:17:13
jeanjass-season-1-halloween;JeanJass;Halloween;141;0,01;11,724;21/11/2022 09:19:14
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;138;0,01;11,724;21/11/2022 09:16:14
winnterzuko-season-1-halloween;Winnterzuko;Halloween;34;0,023;27,201;21/11/2022 03:01:13
jewel-usain-season-1-common;Jewel Usain;Common;9;0,03;35,173;20/11/2022 23:16:16
zinee-season-1-halloween;Zinée;Halloween;5;0,079;92,623;20/11/2022 23:16:15
8ruki-season-1-platinium;8ruki;Platinium;210;0,036;42,208;20/11/2022 23:01:13
kerchak-season-1-common;Kerchak;Common;18;0,02;23,238;20/11/2022 22:12:14
kerchak-season-1-common;Kerchak;Common;239;0,005;5,675;20/11/2022 22:07:15
caballero-season-1-common;Caballero;Common;186;0,014;16,18;20/11/2022 21:15:15
deen-burbigo-season-1-common;Deen Burbigo;Common;19;0,04;46,898;20/11/2022 16:32:15
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;244;0,003;3,048;19/11/2022 13:10:14
deen-burbigo-season-1-common;Deen Burbigo;Common;9;0,056;65,657;19/11/2022 11:46:14
jwles-season-1-common;Jwles;Common;27;0,012;14,069;19/11/2022 11:10:13
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;140;0,017;19,931;19/11/2022 01:22:13
jeanjass-season-1-halloween;JeanJass;Halloween;126;0,013;14,656;19/11/2022 00:06:14
zinee-season-1-halloween;Zinée;Halloween;234;0,003;3,101;18/11/2022 21:37:13
le-reglement-season-1-common;Le Règlement;Common;118;0,012;13,835;18/11/2022 20:08:14
caballero-season-1-common;Caballero;Common;97;0,015;17,587;18/11/2022 19:11:13
jeanjass-season-1-halloween;JeanJass;Halloween;243;0,004;4,69;18/11/2022 18:12:14
zinee-season-1-halloween;Zinée;Halloween;208;0,002;2,814;18/11/2022 17:58:10
winnterzuko-season-1-halloween;Winnterzuko;Halloween;39;0,015;17;18/11/2022 17:48:13
caballero-season-1-halloween;Caballero;Halloween;53;0,013;15,242;18/11/2022 17:34:13
le-reglement-season-1-platinium;Le Règlement;Platinium;162;0,055;64,918;18/11/2022 13:43:16
kerchak-season-1-common;Kerchak;Common;121;0,015;17,587;18/11/2022 13:39:14
so-la-lune-season-1-common;So La Lune;Common;241;0,018;20,518;18/11/2022 12:46:16
doums-season-1-common;Doums;Common;35;0,024;27,552;18/11/2022 11:06:14
azur-season-1-platinium;Azur;Platinium;17;0,05;58,388;18/11/2022 00:08:14
youv-dee-season-1-common;Youv Dee;Common;92;0,017;20,283;17/11/2022 22:26:14
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;105;0,034;39,394;17/11/2022 22:21:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;15;0,017;19,931;17/11/2022 21:14:14
caballero-season-1-common;Caballero;Common;19;0,021;24,621;17/11/2022 19:08:14
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;37;0,017;19,931;17/11/2022 18:51:14
spider-zed-season-1-common;Spider Zed;Common;42;0,009;10,552;17/11/2022 18:46:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;15;0,017;19,931;17/11/2022 18:30:13
flem-season-1-common;Flem;Common;15;0,02;23,332;17/11/2022 18:12:13
jmks-season-1-common;JMK$;Common;11;0,018;21,104;17/11/2022 18:10:14
thahomey-season-1-common;thaHomey;Common;19;0,019;22,276;17/11/2022 18:07:13
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;5;0,075;87,933;17/11/2022 12:39:14
caballero-season-1-common;Caballero;Common;9;0,076;89,105;16/11/2022 23:55:13
kerchak-season-1-platinium;Kerchak;Platinium;33;0,18;211,039;16/11/2022 22:22:15
kerchak-season-1-common;Kerchak;Common;203;0,012;13,483;16/11/2022 19:23:15
le-reglement-season-1-common;Le Règlement;Common;234;0,007;8,524;16/11/2022 16:55:19
kerchak-season-1-common;Kerchak;Common;152;0,012;14,187;16/11/2022 13:39:10
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;213;0,013;15,242;16/11/2022 08:25:16
jwles-season-1-common;Jwles;Common;196;0,005;5,862;15/11/2022 23:41:14
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;205;0,006;6,8;15/11/2022 22:48:15
doums-season-1-common;Doums;Common;107;0,014;16,414;15/11/2022 22:04:16
jeanjass-season-1-halloween;JeanJass;Halloween;3;0,074;86,761;15/11/2022 18:43:13
youv-dee-season-1-halloween;Youv Dee;Halloween;37;0,025;29,311;15/11/2022 18:32:14
winnterzuko-season-1-halloween;Winnterzuko;Halloween;190;0,005;5,745;15/11/2022 17:27:13
jeanjass-season-1-halloween;JeanJass;Halloween;95;0,053;62,139;15/11/2022 16:35:15
sheldon-season-1-common;Sheldon;Common;33;0,013;15,242;15/11/2022 16:03:14
youv-dee-season-1-halloween;Youv Dee;Halloween;242;0,003;3,447;15/11/2022 14:33:14
jeanjass-season-1-halloween;JeanJass;Halloween;111;0,013;15,007;15/11/2022 08:01:14
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;101;0,009;10,904;15/11/2022 04:58:13
le-reglement-season-1-halloween;Le Règlement;Halloween;206;0,006;6,742;15/11/2022 03:25:10
caballero-season-1-common;Caballero;Common;70;0,017;19,814;15/11/2022 02:53:14
jeanjass-season-1-halloween;JeanJass;Halloween;83;0,004;5,159;14/11/2022 22:23:14
youv-dee-season-1-halloween;Youv Dee;Halloween;93;0,017;19,931;14/11/2022 21:14:14
winnterzuko-season-1-halloween;Winnterzuko;Halloween;104;0,016;18,759;14/11/2022 21:05:13
so-la-lune-season-1-common;So La Lune;Common;76;0,015;17,704;14/11/2022 20:42:14
azur-season-1-platinium;Azur;Platinium;238;0,03;35,173;14/11/2022 19:11:16
zinee-season-1-halloween;Zinée;Halloween;37;0,022;25,794;14/11/2022 17:46:17
jwles-season-1-common;Jwles;Common;194;0,005;5,862;14/11/2022 16:13:18
jeanjass-season-1-halloween;JeanJass;Halloween;111;0,005;5,276;14/11/2022 16:05:15
le-reglement-season-1-halloween;Le Règlement;Halloween;41;0,007;7,855;14/11/2022 12:28:14
spider-zed-season-1-common;Spider Zed;Common;84;0,01;11,373;14/11/2022 12:06:15
doums-season-1-platinium;Doums;Platinium;90;0,048;56,277;14/11/2022 10:59:16
doums-season-1-common;Doums;Common;43;0,022;25,794;14/11/2022 00:07:25
doums-season-1-common;Doums;Common;140;0,014;15,828;13/11/2022 20:11:16
jeanjass-season-1-common;JeanJass;Common;231;0,011;12,545;13/11/2022 19:48:24
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;76;0,02;23,449;13/11/2022 18:51:11
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;69;0,022;25,794;13/11/2022 18:17:28
jeanjass-season-1-common;JeanJass;Common;13;0,04;46,898;13/11/2022 17:53:19
vladimir-cauchemar-season-1-halloween;Vladimir Cauchemar ;Halloween;33;0,026;30,952;13/11/2022 17:41:19
kerchak-season-1-common;Kerchak;Common;18;0,03;35,173;13/11/2022 16:57:12
jeanjass-season-1-common;JeanJass;Common;58;0,024;27,552;13/11/2022 16:46:11
kerchak-season-1-common;Kerchak;Common;79;0,021;24,621;13/11/2022 15:16:17
rowjay-season-1-common;Rowjay;Common;2;0,044;52,056;13/11/2022 15:16:14
caballero-season-1-common;Caballero;Common;2;0,098;114,899;13/11/2022 13:36:17
kerchak-season-1-platinium;Kerchak;Platinium;152;0,06;70,346;13/11/2022 13:25:14
jwles-season-1-common;Jwles;Common;67;0,01;11,724;13/11/2022 10:13:17
kerchak-season-1-common;Kerchak;Common;225;0,008;9,602;13/11/2022 01:34:13
zinee-season-1-halloween;Zinée;Halloween;136;0,006;6,448;13/11/2022 00:50:14
jeanjass-season-1-platinium;JeanJass;Platinium;197;0,075;87,933;13/11/2022 00:28:20
sheldon-season-1-common;Sheldon;Common;245;0,005;5,862;13/11/2022 00:17:14
lycos-season-1-common;Lycos;Common;242;0,005;6,114;12/11/2022 23:43:19
jeanjass-season-1-common;JeanJass;Common;9;0,06;70,346;12/11/2022 23:32:14
youv-dee-season-1-platinium;Youv Dee;Platinium;205;0,06;70,346;12/11/2022 23:32:14
livai-season-1-platinium;Livaï;Platinium;243;0,033;38,691;12/11/2022 19:19:17
spider-zed-season-1-common;Spider Zed;Common;126;0,005;5,979;12/11/2022 17:47:14
youv-dee-season-1-halloween;Youv Dee;Halloween;189;0,015;17,352;12/11/2022 17:47:13
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;223;0,029;33,766;12/11/2022 16:28:16
winnterzuko-season-1-halloween;Winnterzuko;Halloween;154;0,014;16,414;12/11/2022 14:16:16
winnterzuko-season-1-halloween;Winnterzuko;Halloween;104;0,009;10,552;12/11/2022 13:08:17
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;67;0,013;15,242;12/11/2022 12:57:15
zinee-season-1-common;Zinée;Common;149;0,012;14,069;12/11/2022 11:05:19
doums-season-1-platinium;Doums;Platinium;237;0,038;44,553;12/11/2022 00:28:16
le-reglement-season-1-platinium;Le Règlement;Platinium;80;0,075;87,933;11/11/2022 17:42:13
thahomey-season-1-common;thaHomey;Common;77;0,011;12,897;11/11/2022 17:32:13
jmks-season-1-common;JMK$;Common;59;0,016;18,759;11/11/2022 17:19:14
di-meh-season-1-common;Di-Meh;Common;65;0,015;17,587;11/11/2022 16:58:14
skuna-season-1-platinium;Skuna;Platinium;29;0,044;51,822;11/11/2022 16:54:14
rowjay-season-1-common;Rowjay;Common;56;0,013;15,476;11/11/2022 16:30:14
azur-season-1-common;Azur;Common;98;0,013;15,242;11/11/2022 16:22:13
skuna-season-1-common;Skuna;Common;86;0,014;16,414;11/11/2022 16:19:13
mahdi-ba-season-1-common;Mahdi Ba;Common;56;0,015;17,587;11/11/2022 16:12:15
mahdi-ba-season-1-common;Mahdi Ba;Common;155;0,007;8,207;11/11/2022 16:08:14
jewel-usain-season-1-common;Jewel Usain;Common;231;0,009;10,083;11/11/2022 15:40:13
jwles-season-1-common;Jwles;Common;176;0,006;6,448;11/11/2022 15:32:14
sheldon-season-1-platinium;Sheldon;Platinium;190;0,034;39,757;10/11/2022 21:07:14
azur-season-1-common;Azur;Common;7;0,027;31,656;10/11/2022 14:08:17
jmks-season-1-common;JMK$;Common;18;0,019;22,276;10/11/2022 08:27:14
8ruki-season-1-common;8ruki;Common;16;0,02;23,449;10/11/2022 08:20:15
rowjay-season-1-platinium;Rowjay;Platinium;17;0,065;76,209;10/11/2022 06:35:14
jwles-season-1-common;Jwles;Common;15;0,02;23,449;10/11/2022 05:36:13
winnterzuko-season-1-common;Winnterzuko;Common;26;0,029;34,001;10/11/2022 05:32:13
spider-zed-season-1-platinium;Spider Zed;Platinium;23;0,043;49,829;10/11/2022 02:23:14
youv-dee-season-1-platinium;Youv Dee;Platinium;195;0,05;58,622;10/11/2022 00:52:14
azur-season-1-platinium;Azur;Platinium;71;0,035;41,387;09/11/2022 21:35:13
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;108;0,016;18,759;09/11/2022 20:38:14
winnterzuko-season-1-common;Winnterzuko;Common;7;0,06;70,346;09/11/2022 20:14:16
thahomey-season-1-common;thaHomey;Common;109;0,006;6,448;09/11/2022 20:11:22
8ruki-season-1-common;8ruki;Common;84;0,008;9,38;09/11/2022 20:05:15
thahomey-season-1-platinium;thaHomey;Platinium;54;0,05;58,622;09/11/2022 20:04:15
so-la-lune-season-1-common;So La Lune;Common;191;0,012;14,069;09/11/2022 19:58:15
lycos-season-1-platinium;Lycos;Platinium;83;0,037;43,38;09/11/2022 19:51:15
moji-x-sboy-season-1-platinium;Moji x Sboy;Platinium;178;0,069;80,898;09/11/2022 19:49:17
doums-season-1-common;Doums;Common;171;0,011;12,953;08/11/2022 23:53:14
benjamin-epps-season-1-common;Benjamin Epps;Common;155;0,007;7,621;08/11/2022 16:40:16
zinee-season-1-common;Zinée;Common;233;0,006;6,683;08/11/2022 16:16:16
mahdi-ba-season-1-platinium;Mahdi Ba;Platinium;237;0,028;32,371;08/11/2022 16:16:15
kerchak-season-1-platinium;Kerchak;Platinium;33;0,054;63,195;08/11/2022 15:41:19
skuna-season-1-common;Skuna;Common;15;0,025;29,077;08/11/2022 13:13:12
moji-x-sboy-season-1-common;Moji x Sboy;Common;147;0,007;7,621;08/11/2022 13:04:19
rowjay-season-1-common;Rowjay;Common;60;0,002;2,345;08/11/2022 13:01:15
benjamin-epps-season-1-common;Benjamin Epps;Common;217;0,005;6,331;08/11/2022 01:48:15
slimka-season-1-common;Slimka;Common;174;0,009;10,552;07/11/2022 23:20:13
le-reglement-season-1-common;Le Règlement;Common;189;0,006;7,035;07/11/2022 23:09:13
eden-dillinger-season-1-halloween;Eden Dillinger;Halloween;55;0,02;23,449;07/11/2022 19:17:14
zuukou-mayzie-season-1-common;Zuukou Mayzie;Common;27;0,033;39,042;07/11/2022 19:15:14
benjamin-epps-season-1-platinium;Benjamin Epps;Platinium;84;0,053;62,139;07/11/2022 19:12:14
youv-dee-season-1-halloween;Youv Dee;Halloween;32;0,03;35,173;07/11/2022 19:01:13
mahdi-ba-season-1-common;Mahdi Ba;Common;222;0,006;7,035;07/11/2022 18:51:14
zinee-season-1-halloween;Zinée;Halloween;125;0,013;15,547;07/11/2022 17:44:14
jeanjass-season-1-halloween;JeanJass;Halloween;119;0,017;19,931;07/11/2022 14:57:14
8ruki-season-1-common;8ruki;Common;65;0,01;11,724;07/11/2022 13:00:06
benjamin-epps-season-1-common;Benjamin Epps;Common;72;0,012;14,069;07/11/2022 09:21:15
zuukou-mayzie-season-1-halloween;Zuukou Mayzie;Halloween;105;0,025;29,346;07/11/2022 08:20:16
jwles-season-1-common;Jwles;Common;201;0,003;3,752;07/11/2022 01:13:15
rowjay-season-1-platinium;Rowjay;Platinium;173;0,025;29,311;07/11/2022 01:09:14
doums-season-1-common;Doums;Common;152;0,011;12,897;06/11/2022 19:50:14
caballero-season-1-halloween;Caballero;Halloween;4;0,067;79,022;06/11/2022 17:23:14
jmks-season-1-common;JMK$;Common;92;0,009;10,669;06/11/2022 17:23:13
jwles-season-1-platinium;Jwles;Platinium;62;0,05;58,622;06/11/2022 16:38:15
jewel-usain-season-1-common;Jewel Usain;Common;235;0,004;4,807;06/11/2022 02:48:13
jwles-season-1-common;Jwles;Common;41;0,011;12,897;06/11/2022 02:12:11
jeanjass-season-1-common;JeanJass;Common;35;0,022;25,794;05/11/2022 23:18:12
zinee-season-1-halloween;Zinée;Halloween;6;0,061;71,519;05/11/2022 22:36:14
lycos-season-1-common;Lycos;Common;141;0,004;4,69;05/11/2022 21:51:14
zuukou-mayzie-season-1-platinium;Zuukou Mayzie;Platinium;63;0,077;89,891;05/11/2022 21:14:15
doums-season-1-common;Doums;Common;101;0,013;15,242;05/11/2022 12:03:08
slimka-season-1-common;Slimka;Common;174;0,003;3,893;05/11/2022 11:18:13
doums-season-1-common;Doums;Common;59;0,02;23,449;05/11/2022 00:53:13
doums-season-1-common;Doums;Common;220;0,01;11,49;04/11/2022 22:58:13
jeanjass-season-1-common;JeanJass;Common;50;0,015;17,587;04/11/2022 19:42:13
jmks-season-1-common;JMK$;Common;175;0,005;5,745;04/11/2022 19:28:08
benjamin-epps-season-1-common;Benjamin Epps;Common;57;0,011;12,897;04/11/2022 18:31:14
moji-x-sboy-season-1-common;Moji x Sboy;Common;52;0,012;14,069;04/11/2022 18:26:15
livai-season-1-platinium;Livaï;Platinium;214;0,033;38,691;04/11/2022 18:26:14
livai-season-1-common;Livaï;Common;153;0,005;5,862;04/11/2022 18:12:14
spider-zed-season-1-platinium;Spider Zed;Platinium;23;0,034;39,863;04/11/2022 18:03:14
sheldon-season-1-common;Sheldon;Common;79;0,012;14,069;04/11/2022 18:03:13
le-reglement-season-1-common;Le Règlement;Common;126;0,012;14,069;04/11/2022 17:28:16
doums-season-1-common;Doums;Common;87;0,014;16,414;04/11/2022 16:43:16
zinee-season-1-common;Zinée;Common;149;0,01;11,724;04/11/2022 16:09:14
lycos-season-1-common;Lycos;Common;225;0,004;4,221;04/11/2022 11:37:15
thahomey-season-1-common;thaHomey;Common;168;0,004;4,666;04/11/2022 07:40:14
azur-season-1-platinium;Azur;Platinium;179;0,032;37,518;04/11/2022 07:06:14
mahdi-ba-season-1-common;Mahdi Ba;Common;2;0,047;54,87;04/11/2022 01:31:00
moji-x-sboy-season-1-platinium;Moji x Sboy;Platinium;135;0,041;48,264;03/11/2022 23:17:14
zinee-season-1-common;Zinée;Common;7;0,032;37,129;03/11/2022 21:20:14
lycos-season-1-common;Lycos;Common;30;0,015;17,118;03/11/2022 21:17:13
zinee-season-1-common;Zinée;Common;1;0,284;333,325;03/11/2022 21:10:14
youv-dee-season-1-halloween;Youv Dee;Halloween;208;0,007;7,621;03/11/2022 20:58:14
jeanjass-season-1-halloween;JeanJass;Halloween;176;0,016;18,759;03/11/2022 20:02:14
spider-zed-season-1-common;Spider Zed;Common;9;0,02;23,449;03/11/2022 17:48:17
deen-burbigo-season-1-common;Deen Burbigo;Common;193;0,009;10,552;03/11/2022 16:06:14
lycos-season-1-platinium;Lycos;Platinium;124;0,037;43,38;03/11/2022 02:41:13
8ruki-season-1-common;8ruki;Common;119;0,004;4,807;02/11/2022 22:56:14
